성별,연령,키,몸무게학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
2.0,13.0,163.0,55.0,1.0,2.0,3.0,6.0,4.0,1.0,1.0,120.0,240.0
2.0,13.0,160.3,37.4,1.0,1.0,3.0,3.0,2.0,1.0,1.0,60.0,190.0
2.0,13.0,161.0,54.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,60.0,60.0
2.0,12.0,157.0,56.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,90.0,120.0
1.0,13.0,164.0,60.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,180.0,300.0
1.0,12.0,156.0,43.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,60.0,120.0
1.0,13.0,157.2,39.4,1.0,1.0,2.0,1.0,3.0,1.0,1.0,60.0,180.0
1.0,12.0,168.7,70.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,60.0,120.0
2.0,12.0,153.0,40.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,10.0
1.0,13.0,174.0,72.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,70.0,120.0
1.0,12.0,163.0,51.7,3.0,3.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0
1.0,14.0,175.0,62.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,60.0,120.0
1.0,14.0,179.0,65.0,3.0,3.0,2.0,8.0,3.0,1.0,1.0,0.0,0.0
2.0,14.0,163.2,70.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,240.0,300.0
2.0,14.0,160.0,49.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,30.0,60.0
2.0,13.0,165.0,55.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,240.0,360.0
2.0,14.0,168.0,54.8,2.0,2.0,2.0,2.0,3.0,1.0,1.0,210.0,360.0
1.0,14.0,168.1,58.0,2.0,2.0,2.0,6.0,3.0,1.0,1.0,240.0,360.0
2.0,14.0,158.0,42.0,3.0,1.0,1.0,8.0,2.0,1.0,1.0,90.0,170.0
1.0,13.0,174.0,55.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,600.0,180.0
1.0,14.0,177.5,63.0,5.0,1.0,2.0,3.0,5.0,1.0,1.0,280.0,380.0
1.0,14.0,171.0,65.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,180.0,180.0
1.0,13.0,167.0,50.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0
1.0,13.0,168.5,50.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0
1.0,13.0,173.0,67.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,60.0,120.0
2.0,14.0,163.0,48.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,30.0,30.0
1.0,14.0,170.0,64.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,130.0,150.0
2.0,13.0,169.0,48.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,120.0,120.0
2.0,13.0,159.0,43.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,120.0,240.0
2.0,14.0,159.0,49.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,120.0,180.0
2.0,14.0,160.0,66.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,60.0,240.0
2.0,14.0,158.0,72.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,120.0,180.0
1.0,15.0,170.0,65.0,3.0,1.0,4.0,8.0,3.0,2.0,1.0,0.0,0.0
2.0,14.0,172.0,51.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,60.0,120.0
1.0,15.0,168.5,83.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,270.0,220.0
2.0,14.0,167.0,63.6,4.0,3.0,3.0,3.0,3.0,1.0,1.0,30.0,420.0
1.0,14.0,176.0,53.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0
1.0,14.0,176.0,83.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0
2.0,14.0,160.0,53.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,240.0,360.0
1.0,14.0,182.0,65.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,0.0,0.0
2.0,15.0,162.0,52.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,180.0,240.0
1.0,14.0,180.1,66.6,5.0,2.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0
2.0,15.0,162.0,68.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,30.0
1.0,15.0,179.0,57.0,1.0,2.0,1.0,6.0,2.0,1.0,1.0,120.0,120.0
1.0,15.0,177.0,75.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0
2.0,14.0,160.0,43.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,70.0,120.0
2.0,14.0,165.0,51.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,420.0,420.0
2.0,14.0,160.0,55.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,360.0,360.0
2.0,14.0,167.0,52.1,1.0,1.0,1.0,1.0,4.0,1.0,1.0,180.0,240.0
2.0,12.0,154.0,50.3,4.0,3.0,2.0,1.0,4.0,1.0,1.0,80.0,180.0
